,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
1968,dream-0049-triplet-1,0,"What does 'medicine' cause?","Doctor! Doctor! Help me, please! Take it easy, please! Sit here, now, what's the matter with you? And can I help you? I feel sick. I have a bad stomach-ache, and my head troubles me a lot. Well, let me have a check. Open your mouth please. And say 'Ah'. Ah! Is that serious, doctor? Not really. Did you have your supper this evening? No, I only had some bananas. And the bananas were not quite ripe, fight? Well, yes, they were a bit green. That explains it. I wish I had not eaten them. Take this medicine twice a day and I'm sure you'll be fine. Thanks, doctor. I'll do as you told me. Good-bye, doctor. Bye! And take care. ",causes,gen,"serious","Help me, please","you'll be fine","fine",3
46,daily-dialogue-1015-triplet-4,0,"Where is 'deposit' located?","Good morning , sir . Can I help you ? Yes , I want to deposit 1000 Yuan in my bank account . Please fill out this deposit form , first . OK ... Here you are . Any problem on that ? No , that's fine . Do you bring your bankbook with you ? Yes , I do . Here it is , and the cash . Wait a moment , please . Sure . Is there anything else I can do for you ? Yes . Can you tell me what the interest rate is now ? The deposit rate is 0.8 % every month . Thanks . ",at location,gen,"bank account","help","bring your bankbook","Yes",0
4173,dream-0702-triplet-2,0,"What is implied by 'twelve already'?","Lin Yang. It's twelve already. What about having some thing to eat? Are you hungry? Well, I am a bit. Aren't you? Not very. But I don't mind going somewhere for a light meal. Where shall we go? What about McDonald's? I'm fed up with French fries and hamburgers. I think we'd better go to the restaurant around the corner. It's a family-type. It serves good food at very reasonable prices. OK, let's go. ",implies,gen,"family-type","some thing to eat","s","fed up with French fries and hamburgers",1
36,daily-dialogue-1013-triplet-3,0,"What prerequisite does 'haircut' have?","Good morning , sir . Good morning . How do you want it , sir ? Just take a little off on the top and shorten the back . But please don't make it too short . How about your sideburns ? Just to the bottom of my ears . By the way , I'd like a shave , too . All right ... Tilt your head to the right , please . How much is it ? Exactly five dollars . Here you are . Thank you and goodbye . You are welcome , sir . Good-bye . haircut",has prerequisite,gen,"Good morning","Good-bye","short","Tilt your head",3
286,daily-dialogue-1182-triplet-4,0,"Where is 'gym' located?","Hello ! Do you have a place where I can exercise ? Yes , sir . We have a fine exercise facility . I'm happy to hear that . Now , would you tell me where it is ? You're actually standing above it . Just take the elevator or stairs down one level . Is the hotel going to charge me a dollar a minute for gym use ? No , sir . There's no extra charge . All you need is your room key to open the door . And the gym hours are ? Sir , you'll be pleased to know that our gym never closes . One more question , Do you have a trainer ? We might be getting one in the near future . But at the present time , no . ",at location,gen,"gym","no","hotel","exercise",2
2741,dream-0121-triplet-5,0,"What is 'help you' obstructed by?","Hello, Mrs. Taylor. Can you help me? I'm doing my homework and I can't understand this word. Which one? Oh, I can't help you right away...I'm watching something on TV. Oh? What are you watching? I'm watching a cowboy film. Can Mr. Taylor help me? No, he can't now, Paul. He's reading. What is he reading? He's reading a magazine. What about Kate? Oh, she can't help you either. She's making a phone call now. Oh? Who's she calling? She's calling her boyfriend. Then where is Jack? Can I ask for help from him? He hasn't been home yet...Why? You're asking a lot of questions tonight, Paul. Am I?...Well, I'm practicing my English. ",obstructed by,gen,"hasn't been home yet","hasn't been home","practicing my English","calling her boyfriend",1
1090,mutual-0292-triplet-4,0,"What does 'my mother makes too little money' cause?","now , please tell me something about yourself . my name is henry smith . i left school for months ago . i got a 's in nearly every subject . then why did n't you go to college ? i wanted to . but i could n't afford the costs . my father lost his job half a year ago . my mother makes too little money . my younger brother and sister are still studying in high school . i must work to help support my family . ",causes,gen,"please tell me something about yourself","support my family","could n't afford the costs","my mother makes too little money",2
624,dream-0258-triplet-6,0,"What does 'the truck hit the taxi' cause?","Now, Mr White, did you see the accident clearly? Oh, yes, I was standing outside my house. Do you remember what time it happened? Yes, it was 4: 30 by my watch. Good. Now, was the truck going fast? Yes. Well, perhaps the driver thought the light was changing to green. But it was red. Are you sure, Mr. White? Yes, absolutely sure. Then the truck hit the taxi, did it? Yes, with much noise. Then I called the police. Well, thanks a lot, Mr. White. Good-bye. Good-bye. report the accident",causes,gen,"remember","standing outside my house","much noise","noise",2
687,dream-0269-triplet-2,0,"What desire is caused by 'feel tired'?","Oh, no, it's Monday again. I always feel tired on Mondays. Oh, yeah. What did you do last night? Party at Lisa's. How interesting. How many people were there? Seventeen including Lisa herself. What did you do last night? I watched Gone with the Wind. Really? I didn't know it's playing again. It isn't. My brother has a tape and he brought it over, so we watched it at home. need to work don't want to work",causes desire,gen,"it's Monday again","Lisa","don't want to work","didn't know it's playing again",2
3788,dream-0879-triplet-6,0,"What does 'foreign car companies have come in' cause?","With us now, is Malcolm Bricklin, CEO of Visionary Vehicles. Hello, everyone. We have been hearing a couple of things about this news that Ford Motor Company is slashing up to 30,000 jobs, shutting down 14 plants nationwide. Is it a big deal if we are no longer manufacturing these cars, Malcolm? I think it's a huge deal. I mean the companies are massive employers both directly and indirectly. If you look at Ford after their restructuring, they've actually got 87,000 employees which is twice as many as Microsoft have worldwide. Moreover, if you look at those jobs, they are very high-paying jobs. These are people who can afford to buy their own products. Er, it seems to indicate a big hit for our economy if these jobs go bye-bye. Yeah, it's a really sad day for America. But it is not as if cars are stopped being made, right? Correct. Still a large number of cars are being made by American manufacturers. More than half of the American cars sold in America are American. So what has happened over time is that as the market share has fallen, foreign car companies have come in, taken over plants and set up new plants, and they have taken over that capacity. So, it is not like there are fewer cars being produced in America than there were 30 years ago. Let me ask you about the Chinese coming in. What would it mean to American jobs, if and when that happens? The Chinese cars we have seen so far aren't that great and they don't have the branding necessary to make a huge impact in the world stage. ",causes,gen,"87,000 employees","cars are stopped being made","mean to American jobs","the market share has fallen",3
3077,dream-0334-triplet-5,0,"What desire is caused by 'didn't have any change for a pay phone'?","What happened? I've been waiting for almost an hour. Vm sorry, but I had car trouble. Oh, that's too bad. Couldn't you have telephoned? I was going to, but I didn't have any change for a pay phone. You could've gotten some change in a store. But I was out on the edge of town. There wasn't any place to get change. Well, at least you're here now. No need to wait any longer. So, let's get started. ",causes desire,gen,"get change","gotten some change in a store","pay phone","that's too bad",1
2227,mutual-0100-triplet-1,0,"What does 'a lot of computer work' cause?","betty , what 's the matter ? well , at the end of the day at work , my neck really hurts . i see , do you do a lot of computer work ? well , yes . i spent all day at the computer , but i take regular breaks . ok. that 's good , but do you relax your arms ? sorry ? well , every half hour you should relax your arms to reduce the pressure on your neck . ",causes,gen,"yes .","my neck really hurts","take regular breaks","do a lot of computer work",1
1361,daily-dialogue-0086-triplet-3,0,"Where is 'works' located?","Are you going to leave school at the end of the term ? Yes , I am . What are you going to do ? I'm going to be a clerk . What does a clerk do ? He works in an office . He writes letters and reports , and he types . I want to be a vet . A-what ? A vet-a veterinary surgeon . Good gracious ! What's that ? A vet's a man who takes care of sick animals . He's an animal doctor . I once read a story about a person who talked to animals . It was very interesting . ",at location,gen,"that","interesting","office","takes care of sick animals",2
1846,dream-0021-triplet-6,0,"What does 'go to the movies this evening' cause?","By the way, would you like to go to the movies this evening? I'd love to. But I must write some emails. Why tonight? I haven't written to anyone for months. Sylvia and John must think I've forgotten them. You don't have to write. You can call them tomorrow. It's half price on Sundays. Yes, I could, couldn't I? All right. I'll do that. What's playing then? Let's see. Here we are. The Columbia: In the World. A must for all teenagers. No, thank you! Central: Children's World. All parents of teenage children ought to see this picture. There must be something worth seeing somewhere. What about this? John Wayne in Texas, Here I Come. I can't stand Westerns. Neither can I. Listen, Joan. I've got a better idea... Let's stay at home and wash down the kitchen walls! Great idea! free occupied",causes,gen,"I've forgotten them","What's playing then","stay at home and wash down the kitchen walls","No, thank you",1
191,daily-dialogue-1103-triplet-8,0,"What desire is caused by 'the job is tiring'?","Have we sold out all the newspapers for today ? Yes . What a good job we have done ! Why are so many extra gifts left here ? Many customers didn't want them . How about giving them to that old man ? Good idea . By the way , do you think it's a good idea to give free gifts to attract customers ? I'm not sure , but still it did attract a large crowds today . I think it should be more useful to hand out some fliers which is also cheaper . But people can just throw them into the trash can as they turn around . That's true . Anyway , let's just finish out job and get back home . Okay . How tiring the job is ! the job is tiring",causes desire,gen,"get back home","finish out job and get back home","didn't want them","throw them into the trash can",1
427,dream-0191-triplet-1,0,"What does 'have an iron stomach' cause?","I have a stomachache. I think I got some bad food at lunch today. Really? But we ate together. How come my stomach is fine? You have an iron stomach! Mine is not that strong. So what should we do now? I've got to find .... Ah, be quick! I think I've got the runs. find the restroom got to go to the restroom quick",causes,gen,"got the runs","what should we do now","stomach is fine","got to go to the restroom quick",2
2579,daily-dialogue-3521-triplet-6,0,"Which goal motivates the act/action 'figuring out my budget'?","What are you working on ? I'm figuring out my budget . What budget ? I'm making a shopping budget , so that I don't spend too much money . How much money can you spend ? I can only spend $ 300 a month . Why only $ 300 ? I need to save the rest . For what ? I need to pay my bills . Your budget is a good idea . I know . It's going to save me a lot of money , I hope . ",motivated by goal,gen,"How much money","I know","What are you working","save the rest",3
3667,dream-0850-triplet-3,0,"What subevent does 'World Economy class' have?","What topic did you finally choose for the term paper for your World Economy class? After thinking about a few ideas, I finally settled on the difference between Japanese and American styles of management. Hmm. Why did you choose a topic like that? Well, I'm planning to study Business in graduate school next year. After that, I hope to start my own company. Isn't that a coincidence! I'm also doing a paper on how Japanese management styles are being adapted by American firms for my Comparative Cultures class. Why don't we sit down and share some of our sources after we've each been to the library? Great idea! Should we meet at the snack bar next Wednesday at this time? That's fine with me. See you then. ",has subevent,gen,"study Business in graduate school","settled on the difference between Japanese and American styles of management","a coincidence","choose",1
2736,dream-0120-triplet-5,0,"What desire is caused by 'enjoy walking alone'?","Hello, Mary. Why are you standing here? I'm waiting for a bus. The buses are so full at this time of the day. Sure. Where are you going? I don't think this is your way home. You are right. I'm going for a walk in the park. Going for a walk even after along day's work? Yes. I always enjoy walking alone in the park after work. I see. Then why not go there on foot? It's not so far from here. Oh, no. I hate walking through the streets. ",causes desire,gen,"don't think this is your way home","Mary","Going for a walk","going for a walk",3
828,dream-0589-triplet-1,0,"What does 'meeting someone after accident' cause?","Hi, Bob. I heard about your accident but I didn't think it would be this bad. Well, thanks for making me feel better. I can hardly recognize you. Tell me what happened. I just got back from Africa where I had a terrible accident in a motorcycle race. I broke both my legs when my motor failed and was hit by another motorcycle. I was laid up in a hospital over there for three weeks. Three weeks, that's a long time. What did you do while you were in the hospital? Well, if you can believe it, I read all about motorcycle racing. I love racing even if it hurts. But I'm afraid you don't make it look very funny. You're lucky to be alive. That's for sure. I am lucky to be alive. How soon can you get well? Did the doctor tell you about it? They say I still need to stay in bed for two weeks or so. I think you'll get a bit fatter by then. By the way, is there anything I can do for you? No, thank you. Thank you for the beautiful flowers. It's very kind of you to come to see me. I'll be going then. Bye. Bye. meeting someone after accident killing someone someone close had a terrible accident",causes,gen,"hospital","making me feel better","get well","can hardly recognize you",1
543,dream-0240-triplet-3,0,"What does 'haven't missed any classes' cause?","Maggie, can I borrow your notes for history? I'll return them tomorrow. Sorry, but I usually go to the cafeteria and review them. Why not copy them in the library? OK. Here you are. You are a great help, Maggie. I don't quite understand a why you need my notes, Mark? You haven't missed any classes. To be honest, I work in supermarket from 7 to 10 o'clock every evening. I see. So you're pretty tired when you come to class. That's exactly why I want to borrow your notes. My notes aren't very good. So what do you usually do in class? I'm always awake at the beginning, but thirty minutes after class begins I feel sleepy and have trouble keeping my eyes open. Well, I need someone to study with and you need someone to keep you awake. Can we be study partners? Oh sure. That's a good idea. So give me a push when you see me sleeping in class. OK. Let's start today in the library. We are going there anyway and I don't have to go to the cafeteria. Sounds good. ",causes,gen,"notes aren't very good","return them tomorrow","keep you awake","don't quite understand a why you need my notes",3
1933,dream-0039-triplet-4,0,"What does 'I told you the first right after the railroad bridge' cause?","Did you have your television repaired? Yes, but not by the place you recommended Why not? The repair is very good and thecharges are so reasonable. That may be, but I couldn't find it. But you couldn't miss it. I told you the first right after the railroad bridge. I took that. I went to the end of the road. There is no such a place. Wait a minute. Perhaps it is the second right. Yes. I think it is. I should have known. Whenever someone says 'You can't miss it', you can be sure that you won't find it. I'm really sorry for my bad memory. That's OK. remember wrongly",causes,gen,"the first right after the railroad bridge","thecharges are so reasonable","you couldn't miss it","couldn't find it",2
1873,dream-0030-triplet-5,0,"Which goal motivates the act/action 'But what time is the clinic closed'?","Clinic, can I help you? This is Frank Smith. Can I make an appointment with Dr Milton? Yes, of course, Mr. Smith. Can you manage this afternoon? I am afraid not. I can manage tomorrow. I am afraid Dr Milton's not on duty tomorrow. He'll be here the day after tomorrow. That's Thursday, March 27th. Fine. Will 5:30 pm be all right? Yes. But what time is the clinic closed? We start at 5:00 am and close at 7:00 pm on weekdays. We don't work on the weekends. I'd prefer a later time. Then what about 6:15 pm? Well, that's fine. free not free tomorrow is free clinic open",motivated by goal,gen,"later time","clinic open","weekdays","Then",1
2247,mutual-1002-triplet-9,0,"What is 'used a lot of idioms on purpose' a manner of?","hey , jenny , what 's the matter ? i was just online in a chat room with three germans . they used a lot of idioms on purpose and i did n't understand , so i asked them what they meant . then they started to ignore me and after a while i started to feel stupid . oh , you should n't . your german is really good . but it seems they were using their german ability to have fun with each other . they did n't really want to include me . well , some people are like that . that 's all . you ca n't let them bother you . one nice thing about chat room is that you can leave and go to another one . ",manner of,gen,"online in a chat room","german ability to have fun with each other","include me","used a lot of idioms",1
924,dream-0602-triplet-8,0,"What is 'see some of the country' obstructed by?","Hi, Jim. I haven't seen you for a few weeks. Oh, hi, Mary. I have been studying a lot for my final exam. Well, this semester is about over now. Yeah. My brother is coming for a visit this summer, and we'd like to see some of the country, but traveling is so expensive. Have you thought about camping? Camping? I've never done that. I think you'll really like it. You can rent the equipment you need. Is it cheap? Yeah, much cheaper than buying or staying at the hotel. Good idea. Here is my bus. I'll talk to you about this again and get all the details. got to leave now stay at home save money",obstructed by,gen,"Yeah.","camping","?","traveling is so expensive",3
4058,dream-0501-triplet-5,0,"What property does 'country inn' have?","Gordon, I'm going to Keswick in the Lake District this weekend. Really? Yeah, five of us. Why don't you join us? We're getting to Keswick on Friday. Then we're going boating on Saturday. And on Sunday, we're going to do some shopping. Then I will take some time to visit my aunt Lucy. You're not going to camp, are you? Isn't it a bit cold? No, we're not. It is a bit cold. We're staying in a country inn. It's not like five-star hotels or anything. But it's really comfortable. Hmm, sounds interesting. You know, it's the boating that I don't like. Well, what are you up to? Sit on my sofa all weekend and watch the DVDs I've just bought. And that will be a busy weekend. I may finish watching Friends. I don't know how you can do that all weekend, Gordon. I'd get bored. I know, I know. But that's really what I want to do. ",has property,gen,"boating","comfortable","really comfortable","interesting",2
1494,daily-dialogue-0143-triplet-11,0,"What is an antonym of 'as soon as'?","Awful ! My cell phone is out of service again . Fred , can you lend me some money ? How much do you want ? 200yuan . I bought a computer online , so I have to pay the mortgage . I am so sorry to hear that . Is that enough ? It's so nice of you . You really make my day . Forget it ! We seemingly need to gather money little by little . What you said is absolutely right . I will pay you back as soon as I get back on my feet . No rush . You can give it back whenever you have it . need repairment lend the money",antonym,gen,"No rush","200yuan","enough","Forget it",0
3037,dream-0317-triplet-3,0,"What is 'come back tomorrow' obstructed by?","Well, this must be the National Library. I guess so. Oh, no! I don't think it's open today. Look, it says 'Closed Tuesdays'. Well, we'll just have to come back tomorrow. But we're supposed to go on that tour tomorrow. Oh, that's right. I forgot all about it. How about the day after tomorrow then? It's Ok with me. ",obstructed by,gen,"I","forgot all about it","go on that tour","have to come back tomorrow",2
1325,daily-dialogue-0075-triplet-4,0,"What does 'meet' cooccur with?","Are you free on the thirteenth in the afternoon ? No I'm afraid not . I'm meeting Ruth then . How about the fourteenth in the morning ? I'm sorry . I'm attending a meeting at the Hilton then . What about the next day ? No . I'm busy then too . I'm meeting Dorothy Heath at North Bridge Road . Are you free on Thursday afternoon ? Yes , I think I am . Let's meet for lunch at mouth restaurant . Good idea ! Is two o'clock okay ? That's fine . See you there ! ",happens simultaneously,gen,"meet for lunch","See you there","attending a meeting","two o'clock",3
374,daily-dialogue-1213-triplet-6,0,"What is implied by 'low fever'?","Hello , I need to come in and see the doctor . Are you scheduling a check-up , or are you ill ? I have really itchy skin and think I may have to have it looked at . Have you been feeling any joint aches with that rash ? No , but I have a low fever . I have times available for Tuesday or Wednesday . Which one would work best for you ? I want to come in on Wednesday . I can fit you in on that day at 10 I would prefer Dr . Smith . You can see the doctor of your choice then , and we will see you at your scheduled appointment time . ",implies,gen,"low fever","work best","fit you in","ill",3
1577,daily-dialogue-0171-triplet-1,0,"What prerequisite does 'apply for a permit' have?","Can I apply for a permit today ? I need to see your ID . I think I forgot it in the car . You need to give me your ID and $ 27 . I'm going to go and get my ID from the car right now . Go get it . Here you go . All right , I'm going to need you to fill this out . May I borrow your pen ? Here's a pen for you . Thanks for your help . You need to turn that in at Window B . ",has prerequisite,gen,"help","it","forgot","ID",3
3962,dream-0493-triplet-3,0,"What property does 'Mary Brown' have?","Good morning, Mr Thompson. My name is Mary Brown. Good morning, Ms Brown. Take a seat, please. Thank you. Well, Ms Brown, could you please tell me about yourself? Yes, of course, I'm 18 years old and just graduated from Peterson Secretary School. I read your ad. in the newspaper and know that you are looking for a secretary. Could you tell me what you can do? I can do whatever a secretary is expected to do, such as typing, receiving phone calls, sending faxes, and writing reports. Well, it seems that your qualifications for the job are excellent. Could you tell me what kind of salary you are expecting? I saw in the ad. that this position offers a salary of around 2,013 a month. That's right. That would be fine with me. Is there anything you would like to know about the job? No, not so far. Good, thank you for coming, Ms Brown. I've enjoyed meeting and talking with you. We'll let you know the result as soon as possible. Thank you. I appreciate the time you've given me. ",has property,gen,"Thank you","Good morning","graduated from Peterson Secretary School","secretary",2
2990,dream-0305-triplet-4,0,"What is 'aspirin'?","Wake up. It's almost eight o'clock. No, please. Let me sleep on! I couldn't get to sleep until 3 o'clock this morning. Why? What's wrong with you? I felt pain all over my body. Can you get me some medicine? Will aspirin do? No, aspirin isn't strong enough. Then I can do nothing but call for a doctor. ",is a,gen,"you","sleep","medicine","do nothing but call for a doctor",2
1658,daily-dialogue-0396-triplet-1,0,"What is implied by 'take to school with you'?","Dad , do you know where Mom is ? I think she is in her room putting a little something together for you to take to school with you . She'd better not start crying like she usually does . I know , but she is going to miss you something awful . Have I told you how proud I am of you ? Dad , now don't you go getting mush on me . I mean it . You have really shown us that you are prepared to take on the adult world . That means a lot to me Dad . Thanks . We have great confidence in you . leaving parents",implies,gen,"Thanks","great confidence in you","leaving parents","know",2
1961,dream-0047-triplet-5,0,"What is implied by 'She is busy with her dancing class'?","Do you want to go for a picinc with me tomorrow? I'd like to. How about asking Jenny to go with us? Oh, no. She is busy with her dancing class. You know, there is a very big performance in just a week. Yes, you're right. It is really not good for her to learn dancing. Her leg hasn't completely recovered from that accident. But she doesn't think so. She is crazy about dancing. Will you take your camera with you tomorrow? I want to, but I lent it to Tom yesterday. Do you have one? No, but I know Mary has got one. Let's go and ask her if she'd like to join us. OK. not free prepare for the performance",implies,gen,"not good","not free","picinc","busy with her dancing class",1
2351,mutual-1063-triplet-3,0,"What does 'does this all the time' cause?","hey susan , how 's it going ? terrable . i 'm really unhappy at pat the house owner . when i came home yesterday the front door was wide open the cat was hiding in the closet and there was pat . he came to change the pipe but he did n't even tell me that he was coming . he does this all the time . last month , one day i was throwing a dinner party for 8 people . when i went out for a minute to buy some wine pat came to repair the broken light in my bedroom . i nearly had a heart attack when i walked in and found him there . ",causes,gen,"really unhappy at pat the house owner","really unhappy","throwing a dinner party","how 's it going",1
3262,dream-0379-triplet-6,0,"What property does 'public rooms' have?","Your father and Sally have gone to get the car. Let's wait for them here on the bench. It's nice to sit down. We've been walking for hours. Did you like the White House? Oh, yes. I thought it was beautiful. I wanted to stay longer. I did, too. But we've got a lot of things to see. The line wasn't long this morning, was it? No, it wasn't. We were lucky. I wonder if the president and his family use the rooms we saw. They look more like a museum than somebody's house. Yes. They are the public rooms. The President's family lives upstairs. What do they use the public rooms for? For important affairs. The President usually entertains members of the government and visitors from other countries. I hope I could get a reception at the White House some time. Well, if you do something important when you grow up, maybe you will. Who knows? ",has property,gen,"lucky","lives upstairs","nice to sit down","look more like a museum",3
3519,dream-0820-triplet-7,0,"What is 'laughing'?","We've all heard the saying 'Laughter is the best medicine.' How important is it to our health, Dr. Berk? This saying has been scientifically proven! A year-long study of heart attack victims done at the Oakhurst Health Research Institute in California found that of those patients who spent half an hour a day watching comedy videos, 10 percent had a second heart attack, whereas 30 percent of those who did not watch had a second attack. Wow! Laughter is really a good medicine to patients. Can you give us another example? Sure! Norman Cousins, editor of the Saturday Review, learned this during a battle with an illness. He discovered that his condition improved when he enjoyed himself and watched funny movies. You said Norman learned this? Do we have to learn to laugh? Not necessarily. Since laughing is something people can do sitting down, costs no money, and requires no special exercise equipment or skill, it's the perfect workout for anyone who doesn't have the time or desire to participate in a regular fitness program. Oh. Do you have such a program to offer to the general public? Yes, we do. It's called the Smile Time-Out. You take a deep breath, smile, exhale, and say 'Aaah' while visualizing all your muscles and cells smiling. Then add to that a memory of a time you felt really good and laughed and laughed. What about the situation in which you aren't in a mood to laugh? Even when you fake a smile or laugh, you get the same physiological benefits as when it's the real thing, because your mind is smart, but your body is stupid and can't tell the difference! ",is a,gen,"workout","illness","funny movies","physiological benefits",0
907,dream-0601-triplet-3,0,"What desire is caused by 'don't really care for modern art'?","Hi, Jenny. What did you do today? Hi, Mark! I've just got back from the Art Gallery. They had a wonderful art exhibition today. You shouldn't have stayed home and worked on that paper. I think you would have been inspired by some of the paintings. Oh, I don't know. I don't really care for modern art. I think you should think of modern art like food. You need to taste things to see if you like them. You know, some of the pieces at the exhibition were even for sale. The last one was on sale for $9,000. $9,000? Well, I may go and visit the exhibition tomorrow, but I'm not going to buy anything. OK, let me know how it goes, won't you? And you might give Tom a call. He wanted to go with me today but his aunt was in town so he couldn't. He really wants to go. OK, I will. ",causes desire,gen,"Hi,","wants to go","inspired by some of the paintings","not going to buy anything",3
466,dream-0213-triplet-8,0,"What is implied by 'find one person for you'?","I'm losing my sleep. I feel tired and sleepy all the time. I've got to do something about it. I'm so sorry for you. But what are you going to do? I want to move out of the dorm and rent a small flat. That's a good idea. It will be much more convenient for you. But I need your help. How? To find one person for you? Yes I'll sleep on it tonight and tell you my decision tomorrow. OK? find a flatmate offered of being flatmate",implies,gen,"OK","offered of being flatmate","need your help","it",1
2581,daily-dialogue-3522-triplet-2,0,"What property does 'collecting stamps' have?","What are your hobbies , Mr . Green ? I like collecting stamps . But it's an expensive hobby , isn't it ? Yes , you're right . What do you like to do in your spare time ? I usually play chess with my friends . But I like playing basketball best . Do you play basketball well ? No , I'm not very good at it . I play just for the fun of it . Shall we have a game together some day ? OK , that'd be very nice . ",has property,gen,"collecting stamps","play basketball well","expensive","?",2
4180,dream-0703-triplet-3,0,"What does 'bomb destroyed our house' cause?","Look at this picture. It might have been taken many years ago. You're right. It was taken 71 years ago, during the Second World War. I was just 6 years old then. Is this little girl you? Yes. And the little boy is my younger brother. The couple standing behind us is our parents. It is the only picture of my family. Hadn't you taken any pictures together before you took this one? Of course we did. But all the pictures were destroyed when a bomb destroyed our house. This picture survived because I always took it with me. Didn't you taken any picture after the bomb? Well, it was a sad story. My father was killed in that bombing. I'm sorry to hear that. War left many people sad memories. Yes. And I'm so glad we can lead such a peaceful life nowadays. ",causes,gen,"sorry","pictures were destroyed","picture","the little boy",1
1122,mutual-0301-triplet-1,0,"What is implied by 'michael has n't arrived yet'?","ok. everyone get on the bus . it 's time to set off . but miss james , michael has n't arrived yet . can we just wait for him just a little longer ? i 'm sorry , bil . i think we just ca n't . we 'll be very late getting to the art gallery . i know miss , but michael was really looking forward to seeing those paintings . ",implies,gen,"we just wait for him just a little longer","be very late","get on the bus","paintings",0
150,daily-dialogue-1082-triplet-3,0,"What is 'anniversary'?","Happy anniversary , sweetheart ! Yes . to our first anniversary and many more to come . Cheers ! I'll drink to that . Thanks for making this a night worth remembering . Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . That's good to know . Oh , listen ! The band's playing our song . I requested it . What do you say ? Do you have your dancing shoes on ? Always . ",is a,gen,"special day","smooth sailing","know","first anniversary",0
232,daily-dialogue-1161-triplet-9,0,"What desire is caused by 'can't open the door'?","Have you seen that house ? Yes , it looks interesting . You're right . I love it very much . It must be old . At least more than 100 years old . Let's enter it ! I can't open the door . It must be locked . Let me ask the old woman in that reception office . She can't answer you . She must be deaf . It must be a haunted house . Are you frightened ? Frightened ? You must be joking . ",causes desire,gen,"can't open the door","ask the old woman in that reception office","must be a haunted house","love it",1
1816,dream-0014-triplet-5,0,"What does 'go back home very late' cause?","Are you feeling all right, Mary? You look a little tired. My brother and I had a birthday for my sister last night. So I didn't have much sleep. Where did you have the party? It was at my uncle's house. Did you go back home very late? Not really. But when I was home, I had to start typing a literature paper that was due first thing in the morning. Couldn't you do it today? No, our professor said she wouldn't accept any late papers. Then how did you manage it? Well, I just turned my paper in, and now I'm going home to bed. See you! ",causes,gen,"have the party","Couldn't you do it","birthday","didn't have much sleep",3
1432,daily-dialogue-0118-triplet-3,0,"What is 'black coffee'?","Are you ready to order now , Sir ? May I have the menu , please ? Yes , here you go . I'd like to have some local specialties . Would you recommend for me , please ? Sure , the Huanghe carp with sugar and vinegar is famous in our restaurant . OK . We'll take it . Anything else ? A fried crisp chicken and an eggplant with chili sauce . How about drink ? Coffee , only black coffee , ",is a,gen,"Anything","Coffee","fried crisp chicken","famous",1
2306,mutual-1035-triplet-1,0,"What does 'i 'm full' cause?","hey , that food tasted bad . i ca n't eat another bite . are you sure you do n't want another dish ? no . i 'm full . ",causes,gen,"sure you do n't want another dish","tasted bad","ca n't eat another bite","i ca n't eat another bite",3
2040,dream-0319-triplet-7,0,"What prerequisite does 'picnic' have?","What a great day! Hey, Tom, do you want to go to the beach this weekend? Yeah, that is a great idea. Maybe Sara would like to come along with us. I doubt it. Why? You are kidding! You know, she loves watching the sea. But yesterday afternoon she told me that she would go home this Saturday. What happened? She said that her mother was ill and stayed in the hospital, and therefore she wanted to go home to see her. I am sorry to hear that. Well, What do you think? Should we take some food? That sounds great. Maybe we could have a picnic on the beach. Then let's take some sandwiches, chips, and uh...some salad as well. We should also take some drinks like Coke and beer. Good. In addition, we had better pack beach towels and sun cream. OK. Please don't forget to give me a call and let's go down together. ",has prerequisite,gen,"Saturday","sandwiches","pack beach towels","food",3
2316,mutual-1041-triplet-1,0,"What is 'we have to let the kids have fun' obstructed by?","hey , we should watch the kids more carefully when there in the pool . did you ever hear about secondary drowning ? no , never heard of it . is that like when you get water up your nose ? do n't joke about it ! i learned it from the internet . some children die each year because they fall into a pool or a lake , but they did n't drown right away . someone pulled them out of the water and they seemed ok for the first day . but a lot of water got into their lungs , and the next day , they died . it happens very rarely . we have to let the kids have fun . we ca n't protect them too much . ",obstructed by,gen,"drowning","do n't joke","protect them too much","very rarely",2
2774,dream-0129-triplet-9,0,"What property does 'travel by train' have?","Hello, Yang Mei. I hear you're going to the United States. Yes. I'm going with my grandma. We're going to see my parents in New Jersey. When are you leaving, then? This Friday evening. Our plane leaves at seven fifteen. How long will you be there? Six months. Six months! Do you go and see my grandparents in New York? Of course, I will. I want to see as many places as I can. How can I travel? Most people travel by car. The roads are very good. But I don't have a car and I can't drive. Is there any other way to travel? You can travel by bus. It's very cheap. Can't I travel by train? Yes, you can. The train is expensive in the States, but it's fast. Thank you very much. Well, must be off now. See you when I get back. Good luck and have a good trip! ",has property,gen,"travel by car","This Friday evening","I","fast",3
